chembl_id,canonical_smiles,MW,LogP,TPSA,HBD,HBA,RotatableBonds,HeavyAtoms,AromaticRings,AliphaticRings,HeteroAtoms,BalabanJ,BertzCT,HallKierAlpha,lipinski_pass,lipinski_violations,veber_pass
CHEMBL1091702,COC1CCN(C(=O)C2CCN(c3ccnc4c3c(/C=C3\Oc5ccc(NC(=O)Nc6cccnc6)cc5C3=O)cn4C)CC2)C1,621.698,4.692200000000003,130.92000000000002,2,8,6,46,4,3,12,1.0792716166504681,1795.5549410505078,-5.2299999999999995,True,1,True
CHEMBL1084477,CC(C)C(=O)N1CCCCC1c1nnn(-c2cccc(Cl)c2)n1,333.82300000000004,3.0253000000000014,63.910000000000004,0,4,3,23,2,1,7,1.8695441629772893,670.8516869170817,-1.9499999999999995,True,0,True
CHEMBL1094998,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(CNC(=O)c5cc(C(C)(C)C)c(O)c(C(C)(C)C)c5)cc4)ncnc32)[C@H](O)[C@@H]1O,645.7610000000004,3.0342000000000007,183.75,6,10,8,47,4,1,13,1.2354348167506068,1686.5905931166983,-4.589999999999999,False,2,False
CHEMBL609701,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCCCCC[N+](C)(C)C)C1c1cccc([N+](=O)[O-])c1.[I-],629.5360000000003,1.5966000000000018,107.77000000000001,1,7,13,37,1,1,10,6.844984164964118e-06,985.1098028141886,-2.4699999999999998,True,1,False
CHEMBL609929,Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]2O[C@@H](O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O,669.3230000000005,-3.8047999999999997,358.28000000000003,10,19,11,42,2,2,26,1.3196024317300636,1343.2677706991285,-1.5600000000000007,False,3,False
CHEMBL610474,COc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OC[C@@H]5Cc6ccccc6N5C(C)=O)ccc43)cc2)nc1,691.8940000000001,8.660700000000006,93.89,1,6,11,50,5,1,9,1.3711424371711245,1980.7224409839353,-4.759999999999999,False,2,False
CHEMBL610477,CN1C/C(=C\c2ccc(Cl)cc2)C(=O)[C@]2(C1)[C@H](c1ccc(Cl)cc1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccc([N+](=O)[O-])cc21,621.5460000000002,5.805800000000007,95.79,1,7,3,42,3,4,11,1.5384444683626992,1626.2251853748028,-3.209999999999999,False,2,True
CHEMBL610479,CN1C/C(=C\c2ccc(F)cc2)C(=O)[C@]2(C1)[C@H](c1ccc(F)cc1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccc([N+](=O)[O-])cc21,588.6360000000001,4.777200000000004,95.79,1,7,3,42,3,4,11,1.5384444683626992,1626.2251853748028,-3.9299999999999993,True,1,True
CHEMBL610480,CN1C/C(=C\c2ccc(Br)cc2)C(=O)[C@]2(C1)[C@H](c1ccc(Br)cc1)[C@@H]1CSCN1[C@@]21C(=O)Nc2ccc([N+](=O)[O-])cc21,710.4479999999999,6.024000000000006,95.79,1,7,3,42,3,4,11,1.5384444683626992,1626.2251853748028,-2.8299999999999996,False,2,True
CHEMBL610484,CC(=O)Nc1ccc(/C=N/NC(=O)c2nc(-c3ccc(O)cc3)no2)cc1,365.34900000000005,2.1644999999999994,129.71,3,7,5,27,3,0,9,1.5967367580159202,944.0327291272081,-4.01,True,0,True
